Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;090104;l;Sicilia;P;soluzioni di fissaggio;776.0;876.0;876.0
2026;AG;090108;kg;Sicilia;NP;carta e pellicole per fotografia, non contenenti argento o composti dell'argento;600.0;600.0;600.0
2026;AG;100104;kg;Sicilia;P;ceneri leggere di olio combustibile e polveri di caldaia;10.0;10.0;10.0
2026;AG;100121;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 10 01 20;2840.0;2840.0;2840.0
2026;AG;101112;kg;Sicilia;NP;rifiuti di vetro diversi da quelli di cui alla voce 10 11 11;71500.0;71500.0;71500.0
2026;AG;110105;kg;Sicilia;P;acidi di decappaggio;112000.0;112000.0;112000.0
2026;AG;110113;kg;Sicilia;P;rifiuti di sgrassaggio contenenti sostanze pericolose;630.0;630.0;630.0
2026;AG;120102;kg;Sicilia;NP;polveri e particolato di metalli ferrosi;3260.0;3270.0;3270.0
2026;AG;120105;kg;Sicilia;NP;limatura e trucioli di materiali plastici;3.0;3.0;3.0
2026;AG;120116;kg;Sicilia;P;residui di materiale di sabbiatura, contenente sostanze pericolose;47281.0;47317.0;47326.0
2026;AG;120117;kg;Sicilia;NP;residui di materiale di sabbiatura, diversi da quelli di cui alla voce 12 01 16;1329.0;1347.0;1347.0
2026;AG;120120;kg;Sicilia;P;corpi d'utensile e materiali di rettifica esauriti, contenenti sostanze pericolose;6.0;6.0;6.0
2026;AG;130110;kg;Sicilia;P;oli minerali per circuiti idraulici, non clorurati;5060.0;11785.0;11785.0
2026;AG;130204;kg;Sicilia;P;oli minerali per motori, ingranaggi e lubrificazione, clorurati;200.0;200.0;200.0
2026;AG;130205;kg;Sicilia;P;oli minerali per motori, ingranaggi e lubrificazione, non clorurati;3160.0;13650.0;13650.0
2026;AG;130206;kg;Sicilia;P;oli sintetici per motori, ingranaggi e lubrificazione;11464.0;22404.0;22404.0
2026;AG;130208;kg;Sicilia;P;altri oli per motori, ingranaggi e lubrificazione;315551.0;362508.0;373145.0
2026;AG;130208;l;Sicilia;P;altri oli per motori, ingranaggi e lubrificazione;21977.0;26010.0;26510.0
2026;AG;130306;kg;Sicilia;P;oli minerali isolanti e termoconduttori clorurati, diversi da quelli di cui alla voce 13 03 01;1200.0;1200.0;1200.0
2026;AG;130308;kg;Sicilia;P;oli sintetici isolanti e oli termoconduttori;200.0;200.0;200.0
2026;AG;130308;l;Sicilia;P;oli sintetici isolanti e oli termoconduttori;70.0;85.0;85.0
2026;AG;130403;kg;Sicilia;P;oli di sentina da un altro tipo di navigazione;191513.0;208513.0;261943.0
2026;AG;130506;kg;Sicilia;P;oli prodotti da separatori olio/acqua;39670.0;46170.0;46170.0
2026;AG;130701;kg;Sicilia;P;olio combustibile e carburante diesel;40.0;40.0;40.0
2026;AG;130802;kg;Sicilia;P;altre emulsioni;2840.0;5330.0;5430.0
2026;AG;140602;kg;Sicilia;P;altri solventi e miscele di solventi alogenati;149.0;246.0;249.0
2026;AG;140603;kg;Sicilia;P;altri solventi e miscele di solventi;580.0;609.0;610.0
2026;AG;140603;l;Sicilia;P;altri solventi e miscele di solventi;262.0;298.0;298.0
2026;AG;140604;kg;Sicilia;P;fanghi o rifiuti solidi, contenenti solventi alogenati;78.0;78.0;78.0
2026;AG;150101;kg;Sicilia;NP;imballaggi di carta e cartone;1225381.0;1495728.0;1513998.0
2026;AG;150102;kg;Sicilia;NP;imballaggi di plastica;1468185.0;1760259.0;1910549.0
2026;AG;150103;kg;Sicilia;NP;imballaggi in legno;83076.0;88566.0;93866.0
2026;AG;150104;kg;Sicilia;NP;imballaggi metallici;145113.0;170623.0;177723.0
2026;AG;150105;kg;Sicilia;NP;imballaggi compositi;4260.0;4260.0;4260.0
2026;AG;150106;kg;Sicilia;NP;imballaggi in materiali misti;930038.0;1239883.0;1240543.0
2026;AG;150107;kg;Sicilia;NP;imballaggi di vetro;1181053.0;1529188.0;1576688.0
2026;AG;150109;kg;Sicilia;NP;imballaggi in materia tessile;30.0;100.0;100.0
2026;AG;150110;kg;Sicilia;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;33547.0;39681.0;40707.0
2026;AG;150111;kg;Sicilia;P;imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi contenitori a pressione vuoti;205.0;208.0;217.0
2026;AG;150202;kg;Sicilia;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;22689.0;25457.0;25744.0
2026;AG;150202;l;Sicilia;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;1.0;;
