Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Var_2026-09-07;Var_2026-09-15
2026;AG;101112;kg;Sicilia;NP;rifiuti di vetro diversi da quelli di cui alla voce 10 11 11;0.0;0.0
2026;AG;110105;kg;Sicilia;P;acidi di decappaggio;0.0;0.0
2026;AG;110113;kg;Sicilia;P;rifiuti di sgrassaggio contenenti sostanze pericolose;0.0;0.0
2026;AG;120102;kg;Sicilia;NP;polveri e particolato di metalli ferrosi;10.0;0.0
2026;AG;120105;kg;Sicilia;NP;limatura e trucioli di materiali plastici;0.0;0.0
2026;AG;120116;kg;Sicilia;P;residui di materiale di sabbiatura, contenente sostanze pericolose;36.0;9.0
2026;AG;120117;kg;Sicilia;NP;residui di materiale di sabbiatura, diversi da quelli di cui alla voce 12 01 16;18.0;0.0
2026;AG;120120;kg;Sicilia;P;corpi d'utensile e materiali di rettifica esauriti, contenenti sostanze pericolose;0.0;0.0
2026;AG;130110;kg;Sicilia;P;oli minerali per circuiti idraulici, non clorurati;6725.0;0.0
2026;AG;130204;kg;Sicilia;P;oli minerali per motori, ingranaggi e lubrificazione, clorurati;0.0;0.0
2026;AG;130205;kg;Sicilia;P;oli minerali per motori, ingranaggi e lubrificazione, non clorurati;10490.0;0.0
2026;AG;130206;kg;Sicilia;P;oli sintetici per motori, ingranaggi e lubrificazione;10940.0;0.0
2026;AG;130208;kg;Sicilia;P;altri oli per motori, ingranaggi e lubrificazione;46957.0;10637.0
2026;AG;130208;l;Sicilia;P;altri oli per motori, ingranaggi e lubrificazione;4033.0;500.0
2026;AG;130306;kg;Sicilia;P;oli minerali isolanti e termoconduttori clorurati, diversi da quelli di cui alla voce 13 03 01;0.0;0.0
2026;AG;130308;kg;Sicilia;P;oli sintetici isolanti e oli termoconduttori;0.0;0.0
2026;AG;130308;l;Sicilia;P;oli sintetici isolanti e oli termoconduttori;15.0;0.0
2026;AG;130403;kg;Sicilia;P;oli di sentina da un altro tipo di navigazione;17000.0;53430.0
2026;AG;130506;kg;Sicilia;P;oli prodotti da separatori olio/acqua;6500.0;0.0
2026;AG;130701;kg;Sicilia;P;olio combustibile e carburante diesel;0.0;0.0
2026;AG;130802;kg;Sicilia;P;altre emulsioni;2490.0;100.0
2026;AG;140602;kg;Sicilia;P;altri solventi e miscele di solventi alogenati;97.0;3.0
2026;AG;140603;kg;Sicilia;P;altri solventi e miscele di solventi;29.0;1.0
2026;AG;140603;l;Sicilia;P;altri solventi e miscele di solventi;36.0;0.0
2026;AG;140604;kg;Sicilia;P;fanghi o rifiuti solidi, contenenti solventi alogenati;0.0;0.0
2026;AG;150101;kg;Sicilia;NP;imballaggi di carta e cartone;270347.0;18270.0
2026;AG;150102;kg;Sicilia;NP;imballaggi di plastica;292074.0;150290.0
2026;AG;150103;kg;Sicilia;NP;imballaggi in legno;5490.0;5300.0
2026;AG;150104;kg;Sicilia;NP;imballaggi metallici;25510.0;7100.0
2026;AG;150105;kg;Sicilia;NP;imballaggi compositi;0.0;0.0
2026;AG;150106;kg;Sicilia;NP;imballaggi in materiali misti;309845.0;660.0
2026;AG;150107;kg;Sicilia;NP;imballaggi di vetro;348135.0;47500.0
2026;AG;150109;kg;Sicilia;NP;imballaggi in materia tessile;70.0;0.0
2026;AG;150110;kg;Sicilia;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;6134.0;1026.0
2026;AG;150111;kg;Sicilia;P;imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi contenitori a pressione vuoti;3.0;9.0
