Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;160114;D9;kg;Sicilia;P;liquidi antigelo contenenti sostanze pericolose;D;860.0;860.0;860.0
2026;AG;160117;R4;kg;Sicilia;NP;metalli ferrosi;R;;4340.0;4340.0
2026;AG;160119;R12;kg;Sicilia;NP;plastica;R;7280.0;7280.0;7280.0
2026;AG;160119;R13;kg;Sicilia;NP;plastica;R;720.0;720.0;720.0
2026;AG;160119;R3;kg;Sicilia;NP;plastica;R;28943.0;28943.0;46468.0
2026;AG;160120;R5;kg;Sicilia;NP;vetro;R;14510.0;14670.0;14670.0
2026;AG;160122;R13;kg;Sicilia;NP;componenti non specificati altrimenti;R;200.0;200.0;200.0
2026;AG;160214;R12;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;680.0;707.0;707.0
2026;AG;160214;R13;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;11169.0;11169.0;11169.0
2026;AG;160214;R3;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;;;650.0
2026;AG;160214;R4;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;35933.0;36123.0;39053.0
2026;AG;160216;R13;kg;Sicilia;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;R;317.0;317.0;317.0
2026;AG;160506;D9;kg;Sicilia;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;D;;2680.0;2680.0
2026;AG;160708;D9;kg;Sicilia;P;rifiuti contenenti oli;D;8060.0;8060.0;8060.0
2026;AG;161001;D9;kg;Sicilia;P;rifiuti liquidi acquosi, contenenti sostanze pericolose;D;27700.0;1199960.0;1199960.0
2026;AG;161002;D8;kg;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;D;2835200.0;2959920.0;2959920.0
2026;AG;161002;D9;kg;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;D;104873820.0;120781100.0;125651540.0
2026;AG;161004;D9;kg;Sicilia;NP;concentrati acquosi, diversi da quelli di cui alla voce 16 10 03;D;1594500.0;1978380.0;1978380.0
2026;AG;170101;R13;kg;Sicilia;NP;cemento;R;131640.0;131640.0;131640.0
2026;AG;170101;R5;kg;Sicilia;NP;cemento;R;14623570.0;16216550.0;16969890.0
2026;AG;170103;R13;kg;Sicilia;NP;mattonelle e ceramiche;R;2190.0;2190.0;2190.0
2026;AG;170103;R5;kg;Sicilia;NP;mattonelle e ceramiche;R;229700.0;250100.0;250100.0
2026;AG;170107;R5;kg;Sicilia;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;R;98740.0;146320.0;146320.0
2026;AG;170201;R12;kg;Sicilia;NP;legno;R;81980.0;81980.0;81980.0
2026;AG;170201;R13;kg;Sicilia;NP;legno;R;265070.0;265070.0;265070.0
2026;AG;170201;R5;kg;Sicilia;NP;legno;R;10240.0;10240.0;10240.0
2026;AG;170202;R12;kg;Sicilia;NP;vetro;R;8560.0;8560.0;8560.0
2026;AG;170202;R13;kg;Sicilia;NP;vetro;R;3340.0;3340.0;3340.0
2026;AG;170202;R5;kg;Sicilia;NP;vetro;R;36004.0;37984.0;37984.0
2026;AG;170203;R12;kg;Sicilia;NP;plastica;R;93460.0;111120.0;111120.0
2026;AG;170203;R13;kg;Sicilia;NP;plastica;R;74245.0;74245.0;74245.0
2026;AG;170203;R3;kg;Sicilia;NP;plastica;R;3400.0;3400.0;5500.0
2026;AG;170302;R13;kg;Sicilia;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;16570.0;16570.0;16570.0
2026;AG;170302;R5;kg;Sicilia;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;23321790.0;25197680.0;26709050.0
2026;AG;170402;R4;kg;Sicilia;NP;alluminio;R;307682.0;307682.0;307682.0
2026;AG;170405;R4;kg;Sicilia;NP;ferro e acciaio;R;1894300.0;2257550.0;2317550.0
2026;AG;170405;R5;kg;Sicilia;NP;ferro e acciaio;R;5460.0;5460.0;5460.0
