Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;BZ;170107;R13;kg;Trentino Alto Adige;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;R;25000.0;25000.0;25000.0
2026;BZ;170107;R5;kg;Trentino Alto Adige;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;R;262021307.0;286686877.0;297080777.0
2026;BZ;170201;R12;kg;Trentino Alto Adige;NP;legno;R;13443919.0;16159199.0;16668789.0
2026;BZ;170201;R3;kg;Trentino Alto Adige;NP;legno;R;2595420.0;2764168.0;2772428.0
2026;BZ;170202;R12;kg;Trentino Alto Adige;NP;vetro;R;1031995.0;1232211.0;1239021.0
2026;BZ;170202;R13;kg;Trentino Alto Adige;NP;vetro;R;2570.0;2570.0;2570.0
2026;BZ;170202;R5;kg;Trentino Alto Adige;NP;vetro;R;;34063.0;34063.0
2026;BZ;170203;R12;kg;Trentino Alto Adige;NP;plastica;R;252104.0;335553.0;335553.0
2026;BZ;170204;R12;kg;Trentino Alto Adige;P;vetro, plastica e legno contenenti sostanze pericolose o da esse contaminati;R;9718.0;9718.0;9718.0
2026;BZ;170301;R12;kg;Trentino Alto Adige;P;miscele bituminose contenenti catrame di carbone;R;60.0;60.0;60.0
2026;BZ;170302;R10;kg;Trentino Alto Adige;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;70000.0;70000.0;70000.0
2026;BZ;170302;R12;kg;Trentino Alto Adige;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;294884.0;488344.0;488344.0
2026;BZ;170302;R13;kg;Trentino Alto Adige;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;212.0;212.0;212.0
2026;BZ;170302;R5;kg;Trentino Alto Adige;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;117920990.0;135421810.0;138635600.0
2026;BZ;170401;R12;kg;Trentino Alto Adige;NP;rame, bronzo, ottone;R;23193.0;29278.0;29278.0
2026;BZ;170401;R4;kg;Trentino Alto Adige;NP;rame, bronzo, ottone;R;17856.0;23431.0;23431.0
2026;BZ;170402;R12;kg;Trentino Alto Adige;NP;alluminio;R;97887.0;146898.0;148318.0
2026;BZ;170402;R13;kg;Trentino Alto Adige;NP;alluminio;R;1132.0;1132.0;1132.0
2026;BZ;170402;R4;kg;Trentino Alto Adige;NP;alluminio;R;280720.0;315625.0;315625.0
2026;BZ;170403;R12;kg;Trentino Alto Adige;NP;piombo;R;140.0;7610.0;7610.0
2026;BZ;170403;R4;kg;Trentino Alto Adige;NP;piombo;R;190.0;190.0;190.0
2026;BZ;170405;R12;kg;Trentino Alto Adige;NP;ferro e acciaio;R;15367215.0;18063112.0;18151492.0
2026;BZ;170405;R13;kg;Trentino Alto Adige;NP;ferro e acciaio;R;288561.0;343561.0;343561.0
2026;BZ;170405;R3;kg;Trentino Alto Adige;NP;ferro e acciaio;R;560.0;560.0;560.0
2026;BZ;170405;R4;kg;Trentino Alto Adige;NP;ferro e acciaio;R;22240935.0;26029322.0;26029322.0
2026;BZ;170405;R5;kg;Trentino Alto Adige;NP;ferro e acciaio;R;3990.0;3990.0;4825.0
2026;BZ;170407;R12;kg;Trentino Alto Adige;NP;metalli misti;R;414328.0;475146.0;485256.0
2026;BZ;170407;R4;kg;Trentino Alto Adige;NP;metalli misti;R;950368.0;1184096.0;1184096.0
2026;BZ;170411;;kg;Trentino Alto Adige;NP;cavi, diversi da quelli di cui alla voce 17 04 10;;520.0;520.0;520.0
2026;BZ;170411;R12;kg;Trentino Alto Adige;NP;cavi, diversi da quelli di cui alla voce 17 04 10;R;24030.0;24030.0;24030.0
2026;BZ;170411;R4;kg;Trentino Alto Adige;NP;cavi, diversi da quelli di cui alla voce 17 04 10;R;;12000.0;12000.0
2026;BZ;170503;D13;kg;Trentino Alto Adige;P;terra e rocce, contenenti sostanze pericolose;D;190670.0;190670.0;190670.0
2026;BZ;170503;D9;kg;Trentino Alto Adige;P;terra e rocce, contenenti sostanze pericolose;D;33830.0;33830.0;33830.0
2026;BZ;170503;R12;kg;Trentino Alto Adige;P;terra e rocce, contenenti sostanze pericolose;R;829470.0;829470.0;829470.0
2026;BZ;170503;R5;kg;Trentino Alto Adige;P;terra e rocce, contenenti sostanze pericolose;R;23940.0;23940.0;23940.0
2026;BZ;170504;D13;kg;Trentino Alto Adige;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;D;5460.0;5460.0;5460.0
2026;BZ;170504;D14;kg;Trentino Alto Adige;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;D;458680.0;458680.0;458680.0
2026;BZ;170504;R12;kg;Trentino Alto Adige;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;17330927.0;18356193.0;19986663.0
2026;BZ;170504;R5;kg;Trentino Alto Adige;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;34515596.0;38254916.0;118211139.0
2026;BZ;170506;R5;kg;Trentino Alto Adige;NP;materiale di dragaggio, diverso da quello di cui alla voce 17 05 05;R;87010.0;87010.0;87010.0
2026;BZ;170508;R5;kg;Trentino Alto Adige;NP;pietrisco per massicciate ferroviarie, diverso da quello di cui alla voce 17 05 07;R;13238650.0;13927930.0;13927930.0
2026;BZ;170603;R12;kg;Trentino Alto Adige;P;altri materiali isolanti contenenti o costituiti da sostanze pericolose;R;710.0;710.0;710.0
2026;BZ;170603;R13;kg;Trentino Alto Adige;P;altri materiali isolanti contenenti o costituiti da sostanze pericolose;R;12788.0;12788.0;12788.0
2026;BZ;170604;D14;kg;Trentino Alto Adige;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;D;13195.0;15855.0;15855.0
2026;BZ;170604;R12;kg;Trentino Alto Adige;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;R;60525.0;60525.0;60525.0
2026;BZ;170605;D14;kg;Trentino Alto Adige;P;materiali da costruzione contenenti amianto;D;5143.0;5143.0;5143.0
2026;BZ;170605;D15;kg;Trentino Alto Adige;P;materiali da costruzione contenenti amianto;D;1031.0;1031.0;1031.0
2026;BZ;170802;R12;kg;Trentino Alto Adige;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;R;299146.0;338806.0;338806.0
2026;BZ;170802;R5;kg;Trentino Alto Adige;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;R;35510.0;37100.0;37100.0
2026;BZ;170903;D8;kg;Trentino Alto Adige;P;altri rifiuti dell'attività di costruzione e demolizione (compresi rifiuti misti) contenenti sostanze pericolose;D;14880.0;14880.0;14880.0
2026;BZ;170903;R12;kg;Trentino Alto Adige;P;altri rifiuti dell'attività di costruzione e demolizione (compresi rifiuti misti) contenenti sostanze pericolose;R;15680.0;16360.0;16360.0
2026;BZ;170904;;kg;Trentino Alto Adige;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;;30000.0;30000.0;30000.0
2026;BZ;170904;R12;kg;Trentino Alto Adige;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R;15750566.0;17956205.0;18116735.0
2026;BZ;170904;R13;kg;Trentino Alto Adige;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R;289744.0;384884.0;384884.0
2026;BZ;170904;R5;kg;Trentino Alto Adige;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R;1751281.0;11290296.0;11627996.0
2026;BZ;180103;R12;kg;Trentino Alto Adige;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;R;2943.0;2943.0;2943.0
2026;BZ;190102;R12;kg;Trentino Alto Adige;NP;materiali ferrosi estratti da ceneri pesanti;R;70000.0;70000.0;70000.0
2026;BZ;190205;D13;kg;Trentino Alto Adige;P;fanghi prodotti da trattamenti chimico-fisici, contenenti sostanze pericolose;D;74800.0;74800.0;74800.0
2026;BZ;190205;D9;kg;Trentino Alto Adige;P;fanghi prodotti da trattamenti chimico-fisici, contenenti sostanze pericolose;D;20300.0;22880.0;22880.0
2026;BZ;190501;R3;kg;Trentino Alto Adige;NP;parte di rifiuti urbani e simili non compostata;R;782240.0;782240.0;782240.0
2026;BZ;190503;R12;kg;Trentino Alto Adige;NP;compost fuori specifica;R;43250.0;43250.0;43250.0
2026;BZ;190604;R3;kg;Trentino Alto Adige;NP;digestato prodotto dal trattamento anaerobico di rifiuti urbani;R;66760.0;66760.0;66760.0
2026;BZ;190801;R12;kg;Trentino Alto Adige;NP;Residui di vagliatura;R;;;660.0
2026;BZ;190805;R3;kg;Trentino Alto Adige;NP;fanghi prodotti dal trattamento delle acque reflue urbane;R;4280.0;4280.0;4280.0
2026;BZ;190805;R5;kg;Trentino Alto Adige;NP;fanghi prodotti dal trattamento delle acque reflue urbane;R;216120.0;216120.0;216120.0
2026;BZ;190814;R5;kg;Trentino Alto Adige;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;R;10639830.0;11582770.0;11816810.0
2026;BZ;190901;R12;kg;Trentino Alto Adige;NP;rifiuti solidi prodotti dai processi di filtrazione e vaglio primari;R;263810.0;338770.0;338770.0
2026;BZ;190901;R3;kg;Trentino Alto Adige;NP;rifiuti solidi prodotti dai processi di filtrazione e vaglio primari;R;12660.0;12660.0;12660.0
2026;BZ;190901;R5;kg;Trentino Alto Adige;NP;rifiuti solidi prodotti dai processi di filtrazione e vaglio primari;R;;10430.0;10430.0
2026;BZ;191201;R12;kg;Trentino Alto Adige;NP;carta e cartone;R;264110.0;314310.0;352100.0
2026;BZ;191201;R13;kg;Trentino Alto Adige;NP;carta e cartone;R;;330.0;410.0
2026;BZ;191201;R3;kg;Trentino Alto Adige;NP;carta e cartone;R;4010417.0;4800207.0;5360267.0
2026;BZ;191202;R12;kg;Trentino Alto Adige;NP;metalli ferrosi;R;327506.0;624646.0;624646.0
2026;BZ;191202;R4;kg;Trentino Alto Adige;NP;metalli ferrosi;R;1107910.0;1115710.0;1115710.0
2026;BZ;191203;R12;kg;Trentino Alto Adige;NP;metalli non ferrosi;R;291211.0;303351.0;303351.0
2026;BZ;191203;R13;kg;Trentino Alto Adige;NP;metalli non ferrosi;R;4451.0;4451.0;4451.0
2026;BZ;191204;R12;kg;Trentino Alto Adige;NP;plastica e gomma;R;6739280.0;9483580.0;10555490.0
2026;BZ;191204;R13;kg;Trentino Alto Adige;NP;plastica e gomma;R;104540.0;121250.0;121250.0
2026;BZ;191204;R3;kg;Trentino Alto Adige;NP;plastica e gomma;R;675750.0;1850100.0;1850100.0
2026;BZ;191205;R5;kg;Trentino Alto Adige;NP;vetro;R;;;21950.0
2026;BZ;191207;R12;kg;Trentino Alto Adige;NP;legno diverso da quello di cui alla voce 19 12 06;R;7000.0;7000.0;7000.0
2026;BZ;191207;R13;kg;Trentino Alto Adige;NP;legno diverso da quello di cui alla voce 19 12 06;R;26710.0;26710.0;26710.0
2026;BZ;191207;R3;kg;Trentino Alto Adige;NP;legno diverso da quello di cui alla voce 19 12 06;R;950710.0;1091590.0;1091590.0
2026;BZ;191209;D13;kg;Trentino Alto Adige;NP;minerali (ad esempio sabbia, rocce);D;83860.0;83860.0;83860.0
2026;BZ;191209;R12;kg;Trentino Alto Adige;NP;minerali (ad esempio sabbia, rocce);R;1087840.0;1087840.0;1087840.0
2026;BZ;191209;R5;kg;Trentino Alto Adige;NP;minerali (ad esempio sabbia, rocce);R;7816595.0;8127125.0;10388515.0
2026;BZ;191210;R12;kg;Trentino Alto Adige;NP;rifiuti combustibili (combustibile da rifiuti);R;3266130.0;3945770.0;3945770.0
2026;BZ;191212;R12;kg;Trentino Alto Adige;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;R;58245690.0;71749670.0;71792840.0
2026;BZ;191212;R3;kg;Trentino Alto Adige;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;R;330000.0;450000.0;450000.0
2026;BZ;200101;R12;kg;Trentino Alto Adige;NP;carta e cartone;R;517120.0;594630.0;610710.0
2026;BZ;200101;R13;kg;Trentino Alto Adige;NP;carta e cartone;R;603630.0;603630.0;603630.0
2026;BZ;200101;R3;kg;Trentino Alto Adige;NP;carta e cartone;R;6337154.0;7455176.0;7586446.0
2026;BZ;200102;R12;kg;Trentino Alto Adige;NP;vetro;R;423770.0;473440.0;478620.0
2026;BZ;200108;R3;kg;Trentino Alto Adige;NP;rifiuti biodegradabili di cucine e mense;R;15058860.0;18307490.0;21052490.0
2026;BZ;200110;R12;kg;Trentino Alto Adige;NP;abbigliamento;R;98894.0;115118.0;115118.0
2026;BZ;200110;R13;kg;Trentino Alto Adige;NP;abbigliamento;R;10.0;10.0;10.0
2026;BZ;200111;R13;kg;Trentino Alto Adige;NP;prodotti tessili;R;230.0;230.0;230.0
2026;BZ;200114;D14;kg;Trentino Alto Adige;P;acidi;D;234.0;234.0;234.0
2026;BZ;200119;D14;kg;Trentino Alto Adige;P;pesticidi;D;182.0;182.0;182.0
2026;BZ;200119;D15;kg;Trentino Alto Adige;P;pesticidi;D;116.0;116.0;116.0
2026;BZ;200121;R12;kg;Trentino Alto Adige;P;tubi fluorescenti ed altri rifiuti contenenti mercurio;R;11392.0;11392.0;11392.0
2026;BZ;200121;R13;kg;Trentino Alto Adige;P;tubi fluorescenti ed altri rifiuti contenenti mercurio;R;290.0;290.0;290.0
2026;BZ;200125;R3;kg;Trentino Alto Adige;NP;oli e grassi commestibili;R;22000.0;22000.0;22000.0
2026;BZ;200125;R9;kg;Trentino Alto Adige;NP;oli e grassi commestibili;R;491448.0;595868.0;595868.0
2026;BZ;200126;R12;kg;Trentino Alto Adige;P;oli e grassi diversi da quelli di cui alla voce 20 01 25;R;11278.0;13438.0;13438.0
2026;BZ;200127;R12;kg;Trentino Alto Adige;P;vernici, inchiostri, adesivi e resine contenenti sostanze pericolose;R;5320.0;5320.0;5320.0
2026;BZ;200127;R13;kg;Trentino Alto Adige;P;vernici, inchiostri, adesivi e resine contenenti sostanze pericolose;R;220.0;220.0;220.0
2026;BZ;200129;D14;kg;Trentino Alto Adige;P;detergenti, contenenti sostanze pericolose;D;435.0;435.0;435.0
2026;BZ;200129;R13;kg;Trentino Alto Adige;P;detergenti, contenenti sostanze pericolose;R;329.0;329.0;329.0
2026;BZ;200130;R12;kg;Trentino Alto Adige;NP;detergenti diversi da quelli di cui alla voce 20 01 29;R;51.0;51.0;51.0
2026;BZ;200131;R12;kg;Trentino Alto Adige;P;medicinali citotossici e citostatici;R;1125.0;1125.0;1125.0
2026;BZ;200132;R12;kg;Trentino Alto Adige;NP;medicinali diversi da quelli di cui alla voce 20 01 31;R;175.0;454.0;454.0
2026;BZ;200133;;kg;Trentino Alto Adige;P;batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03, nonché batterie e accumulatori non suddivisi contenenti tali batterie;;7740.0;7740.0;7740.0
2026;BZ;200133;R12;kg;Trentino Alto Adige;P;batterie e accumulatori di cui alle voci 16 06 01, 16 06 02 e 16 06 03, nonché batterie e accumulatori non suddivisi contenenti tali batterie;R;5000.0;5000.0;5000.0
2026;BZ;200134;R12;kg;Trentino Alto Adige;NP;batterie e accumulatori, diversi da quelli di cui alla voce 20 01 33;R;5580.0;5580.0;5580.0
2026;BZ;200136;R12;kg;Trentino Alto Adige;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R;27580.0;28900.0;28900.0
2026;BZ;200136;R4;kg;Trentino Alto Adige;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R;;5275.0;5275.0
2026;BZ;200138;R12;kg;Trentino Alto Adige;NP;legno diverso da quello di cui alla voce 20 01 37;R;6406660.0;7457700.0;7856454.0
2026;BZ;200138;R3;kg;Trentino Alto Adige;NP;legno diverso da quello di cui alla voce 20 01 37;R;1380.0;1380.0;1380.0
2026;BZ;200138;R5;kg;Trentino Alto Adige;NP;legno diverso da quello di cui alla voce 20 01 37;R;26240.0;26240.0;26240.0
2026;BZ;200139;R1;kg;Trentino Alto Adige;NP;plastica;R;;5100.0;5100.0
2026;BZ;200139;R12;kg;Trentino Alto Adige;NP;plastica;R;689200.0;810688.0;867088.0
2026;BZ;200140;;kg;Trentino Alto Adige;NP;metalli;;161693.0;161693.0;161693.0
2026;BZ;200140;R12;kg;Trentino Alto Adige;NP;metalli;R;3795507.0;4516273.0;4580393.0
2026;BZ;200140;R4;kg;Trentino Alto Adige;NP;metalli;R;1732187.0;1968671.0;1968671.0
2026;BZ;200201;R12;kg;Trentino Alto Adige;NP;rifiuti biodegradabili;R;454238.0;540208.0;547018.0
2026;BZ;200201;R13;kg;Trentino Alto Adige;NP;rifiuti biodegradabili;R;173000.0;300290.0;404730.0
2026;BZ;200201;R3;kg;Trentino Alto Adige;NP;rifiuti biodegradabili;R;8329645.0;9912705.0;10082705.0
2026;BZ;200202;R5;kg;Trentino Alto Adige;NP;terra e roccia;R;41390.0;41390.0;41390.0
2026;BZ;200203;R12;kg;Trentino Alto Adige;NP;altri rifiuti non biodegradabili;R;2680.0;2680.0;2680.0
2026;BZ;200301;R1;kg;Trentino Alto Adige;NP;rifiuti urbani non differenziati;R;3937320.0;3937320.0;3937320.0
2026;BZ;200301;R12;kg;Trentino Alto Adige;NP;rifiuti urbani non differenziati;R;3289020.0;3920600.0;3920600.0
2026;BZ;200301;R13;kg;Trentino Alto Adige;NP;rifiuti urbani non differenziati;R;2230.0;2230.0;2230.0
2026;BZ;200302;R12;kg;Trentino Alto Adige;NP;rifiuti dei mercati;R;570.0;570.0;570.0
2026;BZ;200303;;kg;Trentino Alto Adige;NP;residui della pulizia stradale;;57270.0;57270.0;57270.0
2026;BZ;200303;R12;kg;Trentino Alto Adige;NP;residui della pulizia stradale;R;538628.0;538628.0;538628.0
2026;BZ;200303;R5;kg;Trentino Alto Adige;NP;residui della pulizia stradale;R;11377407.0;12674717.0;12685307.0
2026;BZ;200307;R12;kg;Trentino Alto Adige;NP;rifiuti ingombranti;R;6510038.0;7223026.0;7227026.0
2026;BZ;200307;R13;kg;Trentino Alto Adige;NP;rifiuti ingombranti;R;18730.0;23480.0;23480.0
2026;CA;010413;R5;kg;Sardegna;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R;45260.0;45260.0;52900.0
2026;CA;020102;D10;kg;Sardegna;NP;scarti di tessuti animali;D;42.0;77.0;77.0
2026;CA;020104;D14;kg;Sardegna;NP;rifiuti plastici (ad esclusione degli imballaggi);D;20.0;20.0;20.0
2026;CA;020104;D15;kg;Sardegna;NP;rifiuti plastici (ad esclusione degli imballaggi);D;20.0;20.0;20.0
2026;CA;020104;R3;kg;Sardegna;NP;rifiuti plastici (ad esclusione degli imballaggi);R;51.0;51.0;51.0
2026;CA;020110;R4;kg;Sardegna;NP;rifiuti metallici;R;19680.0;36770.0;36770.0
2026;CA;020201;D8;kg;Sardegna;NP;fanghi da operazioni di lavaggio e pulizia;D;10720.0;10720.0;10720.0
2026;CA;020203;D10;kg;Sardegna;NP;scarti inutilizzabili per il consumo o la trasformazione;D;19864.0;26492.0;26492.0
2026;CA;020203;D14;kg;Sardegna;NP;scarti inutilizzabili per il consumo o la trasformazione;D;;656.0;656.0
2026;CA;020203;D15;kg;Sardegna;NP;scarti inutilizzabili per il consumo o la trasformazione;D;;656.0;656.0
2026;CA;020304;D10;kg;Sardegna;NP;scarti inutilizzabili per il consumo o la trasformazione;D;1678.0;2967.0;2967.0
2026;CA;020304;D14;kg;Sardegna;NP;scarti inutilizzabili per il consumo o la trasformazione;D;4460.0;4460.0;4460.0
2026;CA;020304;D15;kg;Sardegna;NP;scarti inutilizzabili per il consumo o la trasformazione;D;4460.0;4460.0;4460.0
2026;CA;020304;R13;kg;Sardegna;NP;scarti inutilizzabili per il consumo o la trasformazione;R;1590.0;1590.0;1590.0
2026;CA;020705;D8;kg;Sardegna;NP;fanghi da trattamento in loco degli effluenti;D;;;14530.0
2026;CA;030105;D14;kg;Sardegna;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;D;800.0;800.0;800.0
2026;CA;030105;D15;kg;Sardegna;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;D;800.0;800.0;800.0
2026;CA;030105;R12;kg;Sardegna;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;13680.0;13680.0;13680.0
2026;CA;040222;D14;kg;Sardegna;NP;rifiuti da fibre tessili lavorate;D;710.0;710.0;710.0
2026;CA;040222;D15;kg;Sardegna;NP;rifiuti da fibre tessili lavorate;D;710.0;710.0;710.0
2026;CA;050103;D14;kg;Sardegna;P;morchie da fondi di serbatoi;D;203560.0;203560.0;203560.0
2026;CA;050106;D14;kg;Sardegna;P;fanghi oleosi prodotti dalla manutenzione di impianti e apparecchiature;D;1446200.0;1446200.0;1446200.0
2026;CA;050109;D14;kg;Sardegna;P;fanghi prodotti dal trattamento in loco degli effluenti, contenenti sostanze pericolose;D;15648000.0;18244000.0;18514000.0
2026;CA;060502;D15;kg;Sardegna;P;fanghi prodotti dal trattamento in loco di effluenti, contenenti sostanze pericolose;D;;7060.0;7060.0
2026;CA;060503;D9;kg;Sardegna;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;D;1660.0;1660.0;1660.0
2026;CA;070213;D14;kg;Sardegna;NP;rifiuti plastici;D;36310.0;41010.0;41010.0
2026;CA;070213;D15;kg;Sardegna;NP;rifiuti plastici;D;37310.0;42010.0;42010.0
2026;CA;070213;R12;kg;Sardegna;NP;rifiuti plastici;R;6950.0;6950.0;6950.0
2026;CA;070213;R13;kg;Sardegna;NP;rifiuti plastici;R;6950.0;6950.0;6950.0
2026;CA;070612;D9;kg;Sardegna;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;D;30080.0;30080.0;30080.0
2026;CA;080111;D15;kg;Sardegna;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;D;3527.0;3527.0;3527.0
2026;CA;080111;R13;kg;Sardegna;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;R;1932.0;2185.0;2185.0
2026;CA;080111;R2;kg;Sardegna;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;R;693.0;693.0;693.0
2026;CA;080113;R2;kg;Sardegna;P;fanghi prodotti da pitture e vernici, contenenti solventi organici o altre sostanze pericolose;R;3400.0;3400.0;3400.0
2026;CA;080121;R13;kg;Sardegna;P;residui di pittura o di sverniciatori;R;40.0;40.0;40.0
2026;CA;080318;D10;kg;Sardegna;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;D;107.0;107.0;107.0
2026;CA;080318;R5;kg;Sardegna;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;R;1264.0;1450.0;1450.0
2026;CA;080501;D15;kg;Sardegna;P;isocianati di scarto;D;75.0;75.0;75.0
2026;CA;090107;D14;kg;Sardegna;NP;carta e pellicole per fotografia, contenenti argento o composti dell'argento;D;1515.0;1572.0;1572.0
2026;CA;090107;D15;kg;Sardegna;NP;carta e pellicole per fotografia, contenenti argento o composti dell'argento;D;1515.0;1572.0;1572.0
2026;CA;090108;D10;kg;Sardegna;NP;carta e pellicole per fotografia, non contenenti argento o composti dell'argento;D;20.0;20.0;20.0
2026;CA;100102;R5;kg;Sardegna;NP;ceneri leggere di carbone;R;6919065.0;7702582.0;7867164.0
2026;CA;100103;D14;kg;Sardegna;NP;ceneri leggere di torba e di legno non trattato;D;16576.0;16576.0;16576.0
2026;CA;100103;D15;kg;Sardegna;NP;ceneri leggere di torba e di legno non trattato;D;16576.0;16576.0;16576.0
2026;CA;101201;R5;kg;Sardegna;NP;residui di miscela non sottoposti a trattamento termico;R;182240.0;202800.0;202800.0
2026;CA;101208;R5;kg;Sardegna;NP;scarti di ceramica, mattoni, mattonelle e materiali da costruzione (sottoposti a trattamento termico);R;276520.0;307040.0;307040.0
2026;CA;101311;R5;kg;Sardegna;NP;rifiuti della produzione di materiali compositi a base di cemento, diversi da quelli di cui alle voci 10 13 09 e 10 13 10;R;11159880.0;11159880.0;11159880.0
2026;CA;110110;D14;kg;Sardegna;NP;fanghi e residui di filtrazione, diversi da quelli di cui alla voce 11 01 09;D;777319.0;822059.0;822059.0
2026;CA;110110;D15;kg;Sardegna;NP;fanghi e residui di filtrazione, diversi da quelli di cui alla voce 11 01 09;D;777319.0;822059.0;822059.0
2026;CA;110111;D9;kg;Sardegna;P;soluzioni acquose di lavaggio, contenenti sostanze pericolose;D;44170.0;44170.0;44170.0
2026;CA;120101;R13;kg;Sardegna;NP;limatura e trucioli di metalli ferrosi;R;235165.0;235165.0;235165.0
2026;CA;120101;R4;kg;Sardegna;NP;limatura e trucioli di metalli ferrosi;R;127760.0;127760.0;127760.0
2026;CA;120103;R12;kg;Sardegna;NP;limatura e trucioli di metalli non ferrosi;R;33.0;33.0;33.0
2026;CA;120103;R13;kg;Sardegna;NP;limatura e trucioli di metalli non ferrosi;R;1003.0;1003.0;1003.0
2026;CA;120107;R13;kg;Sardegna;P;oli minerali per macchinari, non contenenti alogeni (eccetto emulsioni e soluzioni);R;2100.0;5262.0;5262.0
2026;CA;120109;R12;kg;Sardegna;P;emulsioni e soluzioni per macchinari, non contenenti alogeni;R;87320.0;87320.0;87320.0
2026;CA;120109;R13;kg;Sardegna;P;emulsioni e soluzioni per macchinari, non contenenti alogeni;R;87320.0;87320.0;87320.0
2026;CA;120112;D15;kg;Sardegna;P;cere e grassi esauriti;D;249.0;249.0;249.0
2026;CA;120113;D15;kg;Sardegna;NP;rifiuti di saldatura;D;;250.0;250.0
2026;CA;120116;D15;kg;Sardegna;P;residui di materiale di sabbiatura, contenente sostanze pericolose;D;582.0;582.0;582.0
2026;CA;120117;D9;kg;Sardegna;NP;residui di materiale di sabbiatura, diversi da quelli di cui alla voce 12 01 16;D;9940.0;9940.0;9940.0
2026;CA;120120;D15;kg;Sardegna;P;corpi d'utensile e materiali di rettifica esauriti, contenenti sostanze pericolose;D;24440.0;24440.0;24440.0
2026;CA;120121;D15;kg;Sardegna;NP;corpi d'utensile e materiali di rettifica esauriti, diversi da quelli di cui alla voce 12 01 20;D;1170.0;1170.0;1170.0
2026;CA;130110;R12;kg;Sardegna;P;oli minerali per circuiti idraulici, non clorurati;R;7540.0;8501.0;8501.0
2026;CA;130110;R13;kg;Sardegna;P;oli minerali per circuiti idraulici, non clorurati;R;1011.0;1196.0;1196.0
2026;CA;130113;R12;kg;Sardegna;P;altri oli per circuiti idraulici;R;260.0;260.0;260.0
2026;CA;130113;R13;kg;Sardegna;P;altri oli per circuiti idraulici;R;425.0;425.0;425.0
2026;CA;130205;R12;kg;Sardegna;P;oli minerali per motori, ingranaggi e lubrificazione, non clorurati;R;41574.0;48452.0;48452.0
