Provincia;Campo;Regione;Var_2026-09-07;Var_2026-09-15
RG;di cui Intermediario senza detenzione;Sicilia;0;1
RG;di cui Produttore;Sicilia;12;11
RG;di cui Recuperatore;Sicilia;0;0
RG;di cui Smaltitore;Sicilia;0;0
RG;di cui Trasportatore;Sicilia;0;0
RI;Numero operatori iscritti;Lazio;6;3
RI;Numero unita locali iscritte;Lazio;7;3
RI;di cui Centro di raccolta;Lazio;0;0
RI;di cui Intermediario senza detenzione;Lazio;0;0
RI;di cui Produttore;Lazio;7;3
RI;di cui Recuperatore;Lazio;0;0
RI;di cui Smaltitore;Lazio;0;0
RI;di cui Trasportatore;Lazio;0;0
RM;Numero operatori iscritti;Lazio;152;124
RM;Numero unita locali iscritte;Lazio;219;160
RM;di cui Centro di raccolta;Lazio;3;0
RM;di cui Intermediario senza detenzione;Lazio;1;1
RM;di cui Produttore;Lazio;214;155
RM;di cui Recuperatore;Lazio;1;0
RM;di cui Smaltitore;Lazio;2;0
RM;di cui Trasportatore;Lazio;16;9
RN;Numero operatori iscritti;Emilia Romagna;5;6
RN;Numero unita locali iscritte;Emilia Romagna;8;7
RN;di cui Centro di raccolta;Emilia Romagna;0;0
RN;di cui Intermediario senza detenzione;Emilia Romagna;0;0
RN;di cui Produttore;Emilia Romagna;9;6
RN;di cui Recuperatore;Emilia Romagna;0;0
RN;di cui Smaltitore;Emilia Romagna;0;0
RN;di cui Trasportatore;Emilia Romagna;0;1
RO;Numero operatori iscritti;Veneto;11;8
RO;Numero unita locali iscritte;Veneto;15;9
RO;di cui Centro di raccolta;Veneto;0;1
RO;di cui Intermediario senza detenzione;Veneto;0;0
RO;di cui Produttore;Veneto;15;8
RO;di cui Recuperatore;Veneto;0;0
RO;di cui Smaltitore;Veneto;0;0
RO;di cui Trasportatore;Veneto;0;1
SA;Numero operatori iscritti;Campania;51;45
SA;Numero unita locali iscritte;Campania;71;56
SA;di cui Centro di raccolta;Campania;3;4
SA;di cui Intermediario senza detenzione;Campania;0;0
SA;di cui Produttore;Campania;66;52
SA;di cui Recuperatore;Campania;1;0
SA;di cui Smaltitore;Campania;1;0
SA;di cui Trasportatore;Campania;6;5
SI;Numero operatori iscritti;Toscana;4;5
SI;Numero unita locali iscritte;Toscana;6;9
SI;di cui Centro di raccolta;Toscana;0;0
SI;di cui Intermediario senza detenzione;Toscana;0;0
SI;di cui Produttore;Toscana;5;9
SI;di cui Recuperatore;Toscana;0;1
SI;di cui Smaltitore;Toscana;0;1
SI;di cui Trasportatore;Toscana;2;1
SO;Numero operatori iscritti;Lombardia;13;4
SO;Numero unita locali iscritte;Lombardia;15;4
SO;di cui Centro di raccolta;Lombardia;0;0
SO;di cui Intermediario senza detenzione;Lombardia;0;0
SO;di cui Produttore;Lombardia;14;4
SO;di cui Recuperatore;Lombardia;1;0
SO;di cui Smaltitore;Lombardia;1;0
SO;di cui Trasportatore;Lombardia;6;0
SP;Numero operatori iscritti;Liguria;7;7
SP;Numero unita locali iscritte;Liguria;12;8
SP;di cui Centro di raccolta;Liguria;0;0
SP;di cui Intermediario senza detenzione;Liguria;0;0
SP;di cui Produttore;Liguria;12;8
SP;di cui Recuperatore;Liguria;0;0
SP;di cui Smaltitore;Liguria;0;0
SP;di cui Trasportatore;Liguria;0;0
SR;Numero operatori iscritti;Sicilia;10;8
SR;Numero unita locali iscritte;Sicilia;11;10
SR;di cui Centro di raccolta;Sicilia;0;0
SR;di cui Intermediario senza detenzione;Sicilia;0;0
SR;di cui Produttore;Sicilia;12;10
SR;di cui Recuperatore;Sicilia;0;0
SR;di cui Smaltitore;Sicilia;0;0
SR;di cui Trasportatore;Sicilia;0;1
SS;Numero operatori iscritti;Sardegna;11;7
SS;Numero unita locali iscritte;Sardegna;11;9
SS;di cui Centro di raccolta;Sardegna;0;0
SS;di cui Intermediario senza detenzione;Sardegna;0;0
SS;di cui Produttore;Sardegna;13;8
SS;di cui Recuperatore;Sardegna;1;1
SS;di cui Smaltitore;Sardegna;0;0
SS;di cui Trasportatore;Sardegna;0;3
SU;Numero operatori iscritti;Sardegna;-1;-2
SU;Numero unita locali iscritte;Sardegna;-2;-3
SU;di cui Centro di raccolta;Sardegna;0;0
SU;di cui Intermediario senza detenzione;Sardegna;0;0
SU;di cui Produttore;Sardegna;-1;-2
SU;di cui Recuperatore;Sardegna;-1;-1
SU;di cui Smaltitore;Sardegna;0;0
SU;di cui Trasportatore;Sardegna;-1;-3
SV;Numero operatori iscritti;Liguria;9;6
SV;Numero unita locali iscritte;Liguria;15;9
SV;di cui Centro di raccolta;Liguria;0;0
SV;di cui Intermediario senza detenzione;Liguria;1;0
SV;di cui Produttore;Liguria;14;9
SV;di cui Recuperatore;Liguria;0;0
SV;di cui Smaltitore;Liguria;0;0
SV;di cui Trasportatore;Liguria;0;-2
TA;Numero operatori iscritti;Puglia;11;24
TA;Numero unita locali iscritte;Puglia;29;29
TA;di cui Centro di raccolta;Puglia;0;0
TA;di cui Intermediario senza detenzione;Puglia;0;1
TA;di cui Produttore;Puglia;29;29
TA;di cui Recuperatore;Puglia;0;0
TA;di cui Smaltitore;Puglia;0;0
TA;di cui Trasportatore;Puglia;2;1
TE;Numero operatori iscritti;Abruzzo;21;10
TE;Numero unita locali iscritte;Abruzzo;21;12
TE;di cui Centro di raccolta;Abruzzo;0;0
TE;di cui Intermediario senza detenzione;Abruzzo;0;0
TE;di cui Produttore;Abruzzo;20;12
TE;di cui Recuperatore;Abruzzo;1;0
TE;di cui Smaltitore;Abruzzo;0;0
TE;di cui Trasportatore;Abruzzo;4;1
TN;Numero operatori iscritti;Trentino Alto Adige;46;17
TN;Numero unita locali iscritte;Trentino Alto Adige;54;22
TN;di cui Centro di raccolta;Trentino Alto Adige;0;1
TN;di cui Intermediario senza detenzione;Trentino Alto Adige;0;0
TN;di cui Produttore;Trentino Alto Adige;54;21
TN;di cui Recuperatore;Trentino Alto Adige;0;1
TN;di cui Smaltitore;Trentino Alto Adige;0;0
TN;di cui Trasportatore;Trentino Alto Adige;6;1
TO;Numero operatori iscritti;Piemonte;66;57
TO;Numero unita locali iscritte;Piemonte;137;89
TO;di cui Centro di raccolta;Piemonte;0;0
TO;di cui Intermediario senza detenzione;Piemonte;0;0
TO;di cui Produttore;Piemonte;134;88
TO;di cui Recuperatore;Piemonte;-2;0
TO;di cui Smaltitore;Piemonte;1;0
TO;di cui Trasportatore;Piemonte;6;12
TP;Numero operatori iscritti;Sicilia;15;16
TP;Numero unita locali iscritte;Sicilia;24;23
TP;di cui Centro di raccolta;Sicilia;0;0
TP;di cui Intermediario senza detenzione;Sicilia;1;0
TP;di cui Produttore;Sicilia;23;24
TP;di cui Recuperatore;Sicilia;1;0
TP;di cui Smaltitore;Sicilia;0;0
TP;di cui Trasportatore;Sicilia;2;0
TR;Numero operatori iscritti;Umbria;14;6
TR;Numero unita locali iscritte;Umbria;19;6
TR;di cui Centro di raccolta;Umbria;0;0
TR;di cui Intermediario senza detenzione;Umbria;0;0
TR;di cui Produttore;Umbria;18;6
TR;di cui Recuperatore;Umbria;0;0
TR;di cui Smaltitore;Umbria;0;0
TR;di cui Trasportatore;Umbria;3;0
TS;Numero operatori iscritti;Friuli Venezia Giulia;9;4
TS;Numero unita locali iscritte;Friuli Venezia Giulia;14;6
TS;di cui Centro di raccolta;Friuli Venezia Giulia;0;0
TS;di cui Intermediario senza detenzione;Friuli Venezia Giulia;0;0
TS;di cui Produttore;Friuli Venezia Giulia;15;6
TS;di cui Recuperatore;Friuli Venezia Giulia;0;0
TS;di cui Smaltitore;Friuli Venezia Giulia;0;0
TS;di cui Trasportatore;Friuli Venezia Giulia;-1;1
TV;Numero operatori iscritti;Veneto;35;23
TV;Numero unita locali iscritte;Veneto;41;29
TV;di cui Centro di raccolta;Veneto;0;0
TV;di cui Intermediario senza detenzione;Veneto;-1;0
TV;di cui Produttore;Veneto;41;29
TV;di cui Recuperatore;Veneto;0;0
TV;di cui Smaltitore;Veneto;0;0
TV;di cui Trasportatore;Veneto;0;0
UD;Numero operatori iscritti;Friuli Venezia Giulia;21;14
UD;Numero unita locali iscritte;Friuli Venezia Giulia;31;20
UD;di cui Centro di raccolta;Friuli Venezia Giulia;2;2
UD;di cui Intermediario senza detenzione;Friuli Venezia Giulia;0;0
UD;di cui Produttore;Friuli Venezia Giulia;32;18
UD;di cui Recuperatore;Friuli Venezia Giulia;0;0
UD;di cui Smaltitore;Friuli Venezia Giulia;0;0
UD;di cui Trasportatore;Friuli Venezia Giulia;1;0
VA;Numero operatori iscritti;Lombardia;29;21
VA;Numero unita locali iscritte;Lombardia;39;31
VA;di cui Centro di raccolta;Lombardia;0;0
VA;di cui Intermediario senza detenzione;Lombardia;0;0
VA;di cui Produttore;Lombardia;38;31
VA;di cui Recuperatore;Lombardia;0;0
VA;di cui Smaltitore;Lombardia;0;0
VA;di cui Trasportatore;Lombardia;3;2
VB;Numero operatori iscritti;Piemonte;9;6
VB;Numero unita locali iscritte;Piemonte;10;10
VB;di cui Centro di raccolta;Piemonte;0;0
VB;di cui Intermediario senza detenzione;Piemonte;0;0
VB;di cui Produttore;Piemonte;10;7
VB;di cui Recuperatore;Piemonte;0;1
VB;di cui Smaltitore;Piemonte;0;0
VB;di cui Trasportatore;Piemonte;1;1
VC;Numero operatori iscritti;Piemonte;9;6
VC;Numero unita locali iscritte;Piemonte;12;6
VC;di cui Centro di raccolta;Piemonte;0;0
VC;di cui Intermediario senza detenzione;Piemonte;0;0
VC;di cui Produttore;Piemonte;11;6
VC;di cui Recuperatore;Piemonte;1;0
VC;di cui Smaltitore;Piemonte;0;0
VC;di cui Trasportatore;Piemonte;0;1
VE;Numero operatori iscritti;Veneto;27;20
VE;Numero unita locali iscritte;Veneto;34;31
VE;di cui Centro di raccolta;Veneto;0;0
VE;di cui Intermediario senza detenzione;Veneto;1;0
VE;di cui Produttore;Veneto;33;30
VE;di cui Recuperatore;Veneto;1;0
VE;di cui Smaltitore;Veneto;0;0
VE;di cui Trasportatore;Veneto;3;1
VI;Numero operatori iscritti;Veneto;28;14
VI;Numero unita locali iscritte;Veneto;36;24
VI;di cui Centro di raccolta;Veneto;0;0
VI;di cui Intermediario senza detenzione;Veneto;-1;1
VI;di cui Produttore;Veneto;35;23
VI;di cui Recuperatore;Veneto;0;1
VI;di cui Smaltitore;Veneto;0;0
VI;di cui Trasportatore;Veneto;3;0
VR;Numero operatori iscritti;Veneto;32;28
VR;Numero unita locali iscritte;Veneto;36;36
VR;di cui Centro di raccolta;Veneto;0;0
VR;di cui Intermediario senza detenzione;Veneto;0;0
VR;di cui Produttore;Veneto;35;33
VR;di cui Recuperatore;Veneto;-1;0
VR;di cui Smaltitore;Veneto;-2;0
VR;di cui Trasportatore;Veneto;-1;5
VS;Numero operatori iscritti;Sardegna;11;7
VS;Numero unita locali iscritte;Sardegna;12;7
VS;di cui Centro di raccolta;Sardegna;0;0
VS;di cui Intermediario senza detenzione;Sardegna;0;0
VS;di cui Produttore;Sardegna;12;7
VS;di cui Recuperatore;Sardegna;1;0
VS;di cui Smaltitore;Sardegna;0;0
VS;di cui Trasportatore;Sardegna;0;1
VT;Numero operatori iscritti;Lazio;19;15
VT;Numero unita locali iscritte;Lazio;22;22
VT;di cui Centro di raccolta;Lazio;0;0
VT;di cui Intermediario senza detenzione;Lazio;0;0
VT;di cui Produttore;Lazio;23;22
VT;di cui Recuperatore;Lazio;1;0
VT;di cui Smaltitore;Lazio;0;0
VT;di cui Trasportatore;Lazio;3;2
VV;Numero operatori iscritti;Calabria;8;3
VV;Numero unita locali iscritte;Calabria;9;3
VV;di cui Centro di raccolta;Calabria;0;0
VV;di cui Intermediario senza detenzione;Calabria;0;0
VV;di cui Produttore;Calabria;9;3
VV;di cui Recuperatore;Calabria;0;0
VV;di cui Smaltitore;Calabria;0;0
VV;di cui Trasportatore;Calabria;1;0
