Anno;Provincia produttore;Regione;Codice EER;Pericoloso;Descrizione EER;Quantita;Unita di misura
2024;AQ;Abruzzo;010413;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;1;kg
2024;BS;Lombardia;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;2160;kg
2024;AN;Marche;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;272;kg
2024;BA;Puglia;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;1;kg
2024;PN;Friuli Venezia Giulia;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;7500;kg
2024;TO;Piemonte;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;1900;kg
2024;FI;Toscana;040109;NP;rifiuti delle operazioni di confezionamento e finitura;428;kg
2024;NA;Campania;040109;NP;rifiuti delle operazioni di confezionamento e finitura;2000;kg
2024;SS;Sardegna;040215;NP;rifiuti da operazioni di finitura, diversi da quelli di cui alla voce 04 02 14;45;kg
2024;FI;Toscana;040222;NP;rifiuti da fibre tessili lavorate;462;kg
2024;LC;Lombardia;040222;NP;rifiuti da fibre tessili lavorate;274;kg
2024;NA;Campania;040222;NP;rifiuti da fibre tessili lavorate;1000;kg
2024;VB;Piemonte;040222;NP;rifiuti da fibre tessili lavorate;3809;kg
2024;NA;Campania;060106;P;altri acidi;20;l
2024;VI;Veneto;060106;P;altri acidi;258;kg
2024;VI;Veneto;060311;P;sali e loro soluzioni, contenenti cianuri;1;kg
2024;FI;Toscana;060405;P;rifiuti contenenti altri metalli pesanti;92;kg
2024;AR;Toscana;060502;P;fanghi prodotti dal trattamento in loco di effluenti, contenenti sostanze pericolose;130;kg
2024;CS;Calabria;070101;P;soluzioni acquose di lavaggio e acque madri;15;l
2024;VV;Calabria;070101;P;soluzioni acquose di lavaggio e acque madri;25;kg
2024;BO;Emilia Romagna;070213;NP;rifiuti plastici;38450;kg
2024;RM;Lazio;070703;P;solventi organici alogenati, soluzioni di lavaggio e acque madri;20;kg
2024;RM;Lazio;070704;P;altri solventi organici, soluzioni di lavaggio e acque madri;30;kg
2024;RM;Lazio;070709;P;residui di filtrazione e assorbenti esauriti alogenati;58;kg
2024;FI;Toscana;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;50;kg
2024;GR;Toscana;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;400;kg
2024;SI;Toscana;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;306;kg
2024;VI;Veneto;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;400;kg
2024;BS;Lombardia;080312;P;scarti di inchiostro, contenenti sostanze pericolose;379;kg
2024;OR;Sardegna;080312;P;scarti di inchiostro, contenenti sostanze pericolose;20;kg
2024;CH;Abruzzo;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;36;kg
2024;FI;Toscana;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;20;kg
2024;GE;Liguria;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;3;kg
2024;MC;Marche;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;1;kg
2024;MI;Lombardia;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;2;kg
2024;NA;Campania;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;4;kg
2024;OR;Sardegna;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;51;kg
2024;PA;Sicilia;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;50;kg
2024;PD;Veneto;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;116;kg
2024;FC;Emilia Romagna;090101;P;soluzioni di sviluppo e soluzioni attivanti a base acquosa;180;kg
2024;FC;Emilia Romagna;090101;P;soluzioni di sviluppo e soluzioni attivanti a base acquosa;920;l
2024;MI;Lombardia;090101;P;soluzioni di sviluppo e soluzioni attivanti a base acquosa;60;kg
2024;MI;Lombardia;090101;P;soluzioni di sviluppo e soluzioni attivanti a base acquosa;120;l
2024;SR;Sicilia;090101;P;soluzioni di sviluppo e soluzioni attivanti a base acquosa;150;kg
2024;FC;Emilia Romagna;090104;P;soluzioni di fissaggio;170;kg
2024;FC;Emilia Romagna;090104;P;soluzioni di fissaggio;880;l
2024;MI;Lombardia;090104;P;soluzioni di fissaggio;60;kg
2024;SR;Sicilia;090104;P;soluzioni di fissaggio;155;kg
2024;OR;Sardegna;090107;NP;carta e pellicole per fotografia, contenenti argento o composti dell'argento;44;kg
2024;RC;Calabria;100101;NP;ceneri pesanti, scorie e polveri di caldaia (tranne le polveri di caldaia di cui alla voce 10 01 04);1710;kg
2024;FI;Toscana;110106;P;acidi non specificati altrimenti;1000;kg
2024;FI;Toscana;110107;P;basi di decappaggio;350;kg
2024;FI;Toscana;110114;NP;rifiuti di sgrassaggio diversi da quelli di cui alla voce 11 01 13;1500;kg
2024;FC;Emilia Romagna;120101;NP;limatura e trucioli di metalli ferrosi;10000;kg
2024;FI;Toscana;120102;NP;polveri e particolato di metalli ferrosi;43720;kg
2024;RE;Emilia Romagna;120103;NP;limatura e trucioli di metalli non ferrosi;300;kg
2024;BS;Lombardia;120109;P;emulsioni e soluzioni per macchinari, non contenenti alogeni;1000;kg
2024;VA;Lombardia;120109;P;emulsioni e soluzioni per macchinari, non contenenti alogeni;1000;kg
2024;PT;Toscana;120116;P;residui di materiale di sabbiatura, contenente sostanze pericolose;36;kg
2024;FI;Toscana;120120;P;corpi d'utensile e materiali di rettifica esauriti, contenenti sostanze pericolose;13;kg
2024;FI;Toscana;120121;NP;corpi d'utensile e materiali di rettifica esauriti, diversi da quelli di cui alla voce 12 01 20;50;kg
2024;TO;Piemonte;120121;NP;corpi d'utensile e materiali di rettifica esauriti, diversi da quelli di cui alla voce 12 01 20;15;kg
2024;BO;Emilia Romagna;130205;P;oli minerali per motori, ingranaggi e lubrificazione, non clorurati;200;kg
2024;PR;Emilia Romagna;130205;P;oli minerali per motori, ingranaggi e lubrificazione, non clorurati;6;kg
2024;SS;Sardegna;130205;P;oli minerali per motori, ingranaggi e lubrificazione, non clorurati;400;kg
2024;CN;Piemonte;130206;P;oli sintetici per motori, ingranaggi e lubrificazione;80;kg
2024;AN;Marche;130208;P;altri oli per motori, ingranaggi e lubrificazione;700;kg
2024;CE;Campania;130208;P;altri oli per motori, ingranaggi e lubrificazione;1701;kg
2024;CO;Lombardia;130208;P;altri oli per motori, ingranaggi e lubrificazione;500;kg
2024;FI;Toscana;130208;P;altri oli per motori, ingranaggi e lubrificazione;25;kg
2024;PD;Veneto;130208;P;altri oli per motori, ingranaggi e lubrificazione;60;kg
2024;PI;Toscana;130208;P;altri oli per motori, ingranaggi e lubrificazione;40;kg
2024;RM;Lazio;130208;P;altri oli per motori, ingranaggi e lubrificazione;440;kg
2024;RM;Lazio;130208;P;altri oli per motori, ingranaggi e lubrificazione;380;l
2024;SR;Sicilia;130208;P;altri oli per motori, ingranaggi e lubrificazione;200;kg
2024;BO;Emilia Romagna;140602;P;altri solventi e miscele di solventi alogenati;53;kg
2024;PO;Toscana;140603;P;altri solventi e miscele di solventi;28;kg
2024;VI;Veneto;140603;P;altri solventi e miscele di solventi;19;kg
2024;CS;Calabria;140604;P;fanghi o rifiuti solidi, contenenti solventi alogenati;4;kg
2024;RM;Lazio;140604;P;fanghi o rifiuti solidi, contenenti solventi alogenati;78;kg
2024;VV;Calabria;140604;P;fanghi o rifiuti solidi, contenenti solventi alogenati;30;kg
2024;BG;Lombardia;140605;P;fanghi o rifiuti solidi, contenenti altri solventi;140;kg
2024;RM;Lazio;140605;P;fanghi o rifiuti solidi, contenenti altri solventi;5;kg
2024;AR;Toscana;150101;NP;imballaggi di carta e cartone;60;kg
2024;BG;Lombardia;150101;NP;imballaggi di carta e cartone;240;kg
2024;BN;Campania;150101;NP;imballaggi di carta e cartone;2280;kg
2024;MB;Lombardia;150101;NP;imballaggi di carta e cartone;7695;kg
2024;MC;Marche;150101;NP;imballaggi di carta e cartone;2500;kg
2024;SA;Campania;150101;NP;imballaggi di carta e cartone;20000;kg
2024;VR;Veneto;150101;NP;imballaggi di carta e cartone;300;kg
2024;MB;Lombardia;150102;NP;imballaggi di plastica;515;kg
2024;FC;Emilia Romagna;150103;NP;imballaggi in legno;5500;kg
2024;LC;Lombardia;150103;NP;imballaggi in legno;250;kg
2024;PA;Sicilia;150103;NP;imballaggi in legno;5100;kg
2024;PA;Sicilia;150103;NP;imballaggi in legno;30000;l
2024;PR;Emilia Romagna;150103;NP;imballaggi in legno;2000;kg
2024;SI;Toscana;150103;NP;imballaggi in legno;1000;kg
2024;TO;Piemonte;150103;NP;imballaggi in legno;4000;kg
2024;CN;Piemonte;150106;NP;imballaggi in materiali misti;70;kg
2024;CR;Lombardia;150106;NP;imballaggi in materiali misti;2500;kg
2024;FC;Emilia Romagna;150106;NP;imballaggi in materiali misti;5950;kg
2024;MB;Lombardia;150106;NP;imballaggi in materiali misti;295;kg
2024;MI;Lombardia;150106;NP;imballaggi in materiali misti;4360;kg
2024;PA;Sicilia;150106;NP;imballaggi in materiali misti;800;kg
2024;RM;Lazio;150106;NP;imballaggi in materiali misti;13;kg
2024;SA;Campania;150106;NP;imballaggi in materiali misti;1400;kg
2024;TO;Piemonte;150106;NP;imballaggi in materiali misti;3050;kg
2024;TO;Piemonte;150106;NP;imballaggi in materiali misti;26000;l
2024;VI;Veneto;150106;NP;imballaggi in materiali misti;1300;kg
2024;VR;Veneto;150106;NP;imballaggi in materiali misti;1000;kg
2024;BA;Puglia;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;1;kg
2024;BS;Lombardia;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;120;kg
2024;CE;Campania;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;200;kg
2024;FI;Toscana;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;38;kg
2024;GR;Toscana;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;160;kg
2024;LT;Lazio;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;4;kg
2024;NA;Campania;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;10;kg
2024;OR;Sardegna;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;31;kg
2024;PG;Umbria;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;50;kg
2024;PO;Toscana;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;150;kg
2024;RM;Lazio;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;149;kg
2024;SS;Sardegna;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;106;kg
2024;TO;Piemonte;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;1330;kg
2024;VI;Veneto;150110;P;imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze;5;kg
2024;BO;Emilia Romagna;150111;P;imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi contenitori a pressione vuoti;73;kg
2024;CA;Sardegna;150111;P;imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi contenitori a pressione vuoti;120;kg
2024;FC;Emilia Romagna;150111;P;imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi contenitori a pressione vuoti;400;kg
2024;CE;Campania;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;106;kg
2024;FI;Toscana;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;342;kg
2024;LU;Toscana;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;2;kg
2024;PI;Toscana;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;40;kg
2024;RM;Lazio;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;68;kg
2024;SA;Campania;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;1;kg
2024;SS;Sardegna;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;15;kg
2024;TO;Piemonte;150202;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;45;kg
2024;CO;Lombardia;150203;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;160;kg
2024;FI;Toscana;150203;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;12;kg
2024;MB;Lombardia;150203;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;170;kg
2024;BO;Emilia Romagna;160103;NP;pneumatici fuori uso;160;kg
2024;CH;Abruzzo;160103;NP;pneumatici fuori uso;4000;kg
2024;CO;Lombardia;160103;NP;pneumatici fuori uso;15200;kg
2024;RM;Lazio;160103;NP;pneumatici fuori uso;129;kg
2024;SI;Toscana;160103;NP;pneumatici fuori uso;520;kg
2024;AQ;Abruzzo;160106;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;3500;kg
2024;CE;Campania;160107;P;filtri dell'olio;233;kg
2024;CO;Lombardia;160107;P;filtri dell'olio;250;kg
2024;MC;Marche;160107;P;filtri dell'olio;21;kg
2024;RM;Lazio;160107;P;filtri dell'olio;51;kg
2024;SS;Sardegna;160107;P;filtri dell'olio;68;kg
2024;CO;Lombardia;160117;NP;metalli ferrosi;500;kg
2024;CZ;Calabria;160117;NP;metalli ferrosi;3000;kg
2024;CE;Campania;160122;NP;componenti non specificati altrimenti;472;kg
2024;PA;Sicilia;160122;NP;componenti non specificati altrimenti;25000;l
2024;BS;Lombardia;160211;P;apparecchiature fuori uso, contenenti clorofluorocarburi, HCFC, HFC;500;kg
2024;PD;Veneto;160211;P;apparecchiature fuori uso, contenenti clorofluorocarburi, HCFC, HFC;146;kg
2024;BZ;Trentino Alto Adige;160213;P;apparecchiature fuori uso, contenenti componenti pericolosi (1) diversi da quelli di cui alle voci 16 02 09 e 16 02 12;300;kg
2024;CH;Abruzzo;160213;P;apparecchiature fuori uso, contenenti componenti pericolosi (1) diversi da quelli di cui alle voci 16 02 09 e 16 02 12;93;kg
2024;TO;Piemonte;160213;P;apparecchiature fuori uso, contenenti componenti pericolosi (1) diversi da quelli di cui alle voci 16 02 09 e 16 02 12;100;kg
2024;BG;Lombardia;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;136;kg
2024;CH;Abruzzo;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;108;kg
2024;CN;Piemonte;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;150;kg
2024;FC;Emilia Romagna;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;130;kg
2024;FI;Toscana;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;19;kg
2024;PA;Sicilia;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;600;kg
2024;PC;Emilia Romagna;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;1;kg
2024;PD;Veneto;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;427;kg
2024;SA;Campania;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;3000;kg
2024;TO;Piemonte;160214;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;1050;kg
2024;FC;Emilia Romagna;160216;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;3380;kg
2024;PI;Toscana;160216;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;1;kg
2024;PN;Friuli Venezia Giulia;160216;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;400;kg
2024;PO;Toscana;160216;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;300;kg
2024;PD;Veneto;160303;P;rifiuti inorganici contenenti sostanze pericolose;1525;kg
2024;RE;Emilia Romagna;160304;NP;rifiuti inorganici, diversi da quelli di cui alla voce 16 03 03;1500;kg
2024;BA;Puglia;160305;P;rifiuti organici contenenti sostanze pericolose;280;kg
2024;PD;Veneto;160306;NP;rifiuti organici diversi da quelli di cui alla voce 16 03 05;55;kg
2024;VI;Veneto;160307;P;mercurio metallico;3;kg
2024;BO;Emilia Romagna;160506;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;30;kg
2024;GE;Liguria;160506;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;42;kg
2024;MI;Lombardia;160506;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;1;kg
2024;PD;Veneto;160506;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;6;kg
2024;PI;Toscana;160506;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;50;kg
2024;RM;Lazio;160506;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;6;kg
2024;VI;Veneto;160506;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;2;kg
2024;PD;Veneto;160507;P;sostanze chimiche inorganiche di scarto contenenti o costituite da sostanze pericolose;37;kg
2024;PD;Veneto;160508;P;sostanze chimiche organiche di scarto contenenti o costituite da sostanze pericolose;20;kg
2024;CH;Abruzzo;160601;P;batterie al piombo;58;kg
2024;CO;Lombardia;160601;P;batterie al piombo;1360;kg
2024;FC;Emilia Romagna;160601;P;batterie al piombo;300;kg
2024;FI;Toscana;160601;P;batterie al piombo;10;kg
2024;LU;Toscana;160601;P;batterie al piombo;350;kg
2024;PD;Veneto;160601;P;batterie al piombo;349;kg
2024;PT;Toscana;160601;P;batterie al piombo;50;kg
2024;RM;Lazio;160601;P;batterie al piombo;625;kg
2024;SS;Sardegna;160601;P;batterie al piombo;926;kg
2024;TO;Piemonte;160601;P;batterie al piombo;150;kg
2024;VB;Piemonte;160601;P;batterie al piombo;392;kg
2024;CH;Abruzzo;160604;NP;batterie alcaline (tranne 16 06 03);6;kg
2024;PD;Veneto;160604;NP;batterie alcaline (tranne 16 06 03);96;kg
2024;CH;Abruzzo;160605;NP;altre batterie e accumulatori;6;kg
2024;PN;Friuli Venezia Giulia;160605;NP;altre batterie e accumulatori;1;kg
2024;PA;Sicilia;170201;NP;legno;3200;kg
2024;RM;Lazio;170201;NP;legno;700;kg
2024;SR;Sicilia;170201;NP;legno;1000;kg
2024;GR;Toscana;170203;NP;plastica;836;kg
2024;OR;Sardegna;170203;NP;plastica;99;kg
2024;PA;Sicilia;170203;NP;plastica;1100;kg
2024;SI;Toscana;170401;NP;rame, bronzo, ottone;90;kg
2024;CN;Piemonte;170402;NP;alluminio;160;kg
2024;AR;Toscana;170405;NP;ferro e acciaio;200;kg
2024;CE;Campania;170405;NP;ferro e acciaio;2140;kg
2024;CN;Piemonte;170405;NP;ferro e acciaio;200;kg
2024;CS;Calabria;170405;NP;ferro e acciaio;5500;kg
2024;FC;Emilia Romagna;170405;NP;ferro e acciaio;54160;kg
2024;FG;Puglia;170405;NP;ferro e acciaio;30;kg
2024;MO;Emilia Romagna;170405;NP;ferro e acciaio;3500;kg
2024;TO;Piemonte;170405;NP;ferro e acciaio;3731;kg
2024;VA;Lombardia;170405;NP;ferro e acciaio;766;kg
2024;FC;Emilia Romagna;170407;NP;metalli misti;3120;kg
2024;VR;Veneto;170407;NP;metalli misti;500;kg
2024;FC;Emilia Romagna;170410;P;cavi impregnati di olio, di catrame di carbone o di altre sostanze pericolose;1370;kg
2024;BR;Puglia;170411;NP;cavi, diversi da quelli di cui alla voce 17 04 10;11;kg
2024;CN;Piemonte;170411;NP;cavi, diversi da quelli di cui alla voce 17 04 10;40;kg
2024;FI;Toscana;170411;NP;cavi, diversi da quelli di cui alla voce 17 04 10;2;kg
2024;CA;Sardegna;170504;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;31060;kg
2024;NA;Campania;170504;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;30;kg
2024;FC;Emilia Romagna;170603;P;altri materiali isolanti contenenti o costituiti da sostanze pericolose;2500;kg
2024;FC;Emilia Romagna;170802;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;1000;kg
2024;PA;Sicilia;170802;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;500;kg
2024;AR;Toscana;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;62500;kg
2024;BO;Emilia Romagna;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;10000;kg
2024;FC;Emilia Romagna;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;210;kg
2024;FI;Toscana;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;1;kg
2024;NA;Campania;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;1000;kg
2024;PA;Sicilia;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;15000;kg
2024;TA;Puglia;170904;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;1080;kg
2024;AO;Valle d`Aosta;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;80;l
2024;BA;Puglia;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;6;kg
2024;CT;Sicilia;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;85;kg
2024;FG;Puglia;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;1;kg
2024;FI;Toscana;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;60;l
2024;MI;Lombardia;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;34;kg
2024;PG;Umbria;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;14;kg
2024;PZ;Basilicata;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;4;kg
2024;RE;Emilia Romagna;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;16;kg
2024;SO;Lombardia;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;37;kg
2024;TA;Puglia;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;5;kg
2024;TO;Piemonte;180103;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;15;kg
2024;CH;Abruzzo;180104;NP;rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni (es. bende, ingessature, lenzuola, indumenti monouso, assorbenti igienici);213;kg
2024;TO;Piemonte;180106;P;sostanze chimiche pericolose o contenenti sostanze pericolose;21;kg
2024;NU;Sardegna;180109;NP;medicinali diversi da quelli di cui alla voce 18 01 08;130;kg
2024;CN;Piemonte;180202;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;6;kg
2024;MC;Marche;180202;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;0;kg
2024;MT;Basilicata;180202;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;5;kg
2024;NA;Campania;180202;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;170;kg
2024;NA;Campania;180205;P;sostanze chimiche pericolose o contenenti sostanze pericolose;34;kg
2024;FI;Toscana;180207;P;medicinali citotossici e citostatici;3;kg
2024;ME;Sicilia;190114;NP;ceneri leggere, diverse da quelle di cui alla voce 19 01 13;87;kg
2024;GR;Toscana;190813;P;fanghi contenenti sostanze pericolose prodotti da altri trattamenti di acque reflue industriali;90;kg
2024;AR;Toscana;190814;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;600;kg
2024;VE;Veneto;190814;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;16500;kg
2024;BS;Lombardia;190904;NP;carbone attivo esaurito;147;kg
2024;FI;Toscana;200121;P;tubi fluorescenti ed altri rifiuti contenenti mercurio;650;kg
2024;TO;Piemonte;200123;P;apparecchiature fuori uso contenenti clorofluorocarburi;50;kg
2024;NA;Campania;200125;NP;oli e grassi commestibili;265;kg
2024;VR;Veneto;200125;NP;oli e grassi commestibili;25;kg
2024;PA;Sicilia;200136;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;730;kg
2024;FC;Emilia Romagna;200301;NP;rifiuti urbani non differenziati;800;kg
2024;RM;Lazio;200301;NP;rifiuti urbani non differenziati;1200;l
2024;TO;Piemonte;200301;NP;rifiuti urbani non differenziati;50;kg
2024;CA;Sardegna;200304;NP;fanghi delle fosse settiche;11510;kg
2024;TO;Piemonte;200307;NP;rifiuti ingombranti;600;kg
2025;CO;Lombardia;010101;NP;rifiuti da estrazione di minerali metalliferi;200;kg
2025;FC;Emilia Romagna;010101;NP;rifiuti da estrazione di minerali metalliferi;5820;kg
2025;MB;Lombardia;010101;NP;rifiuti da estrazione di minerali metalliferi;5930;kg
2025;MI;Lombardia;010101;NP;rifiuti da estrazione di minerali metalliferi;420;kg
2025;PD;Veneto;010101;NP;rifiuti da estrazione di minerali metalliferi;70670;kg
2025;PG;Umbria;010101;NP;rifiuti da estrazione di minerali metalliferi;1;kg
2025;PU;Marche;010101;NP;rifiuti da estrazione di minerali metalliferi;2000;kg
2025;SI;Toscana;010101;NP;rifiuti da estrazione di minerali metalliferi;2850;kg
