report_id;da_run;a_run;tipo_variazione;Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Valore_prec;Valore_att;Delta;Stato
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;150106;R12;kg;Sicilia;NP;imballaggi in materiali misti;R;6627670.0;6936290.0;308620.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;150106;R3;kg;Sicilia;NP;imballaggi in materiali misti;R;10137000.0;10356320.0;219320.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;150107;R12;kg;Sicilia;NP;imballaggi di vetro;R;3987760.0;4172700.0;184940.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;150203;R12;kg;Sicilia;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;R;680.0;1140.0;460.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;160104;R12;kg;Sicilia;P;veicoli fuori uso;R;1676137.0;1705667.0;29530.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;160104;R13;kg;Sicilia;P;veicoli fuori uso;R;2403389.0;2453905.0;50516.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;160104;R4;kg;Sicilia;P;veicoli fuori uso;R;786885.0;799285.0;12400.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;160106;R4;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R;628244.0;629905.0;1661.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;160119;R3;kg;Sicilia;NP;plastica;R;28943.0;46468.0;17525.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;160214;R3;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;0.0;650.0;650.0;riga nuova
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;160214;R4;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;36123.0;39053.0;2930.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;161002;D9;kg;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;D;120781100.0;125651540.0;4870440.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170101;R5;kg;Sicilia;NP;cemento;R;16216550.0;16969890.0;753340.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170203;R3;kg;Sicilia;NP;plastica;R;3400.0;5500.0;2100.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170302;R5;kg;Sicilia;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;25197680.0;26709050.0;1511370.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170405;R4;kg;Sicilia;NP;ferro e acciaio;R;2257550.0;2317550.0;60000.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170504;R10;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;19608600.0;19805900.0;197300.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170504;R13;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;230615320.0;232287860.0;1672540.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170504;R5;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;119525920.0;119901380.0;375460.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;170904;R5;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R;82046487.0;83618807.0;1572320.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;190114;R5;kg;Sicilia;NP;ceneri leggere, diverse da quelle di cui alla voce 19 01 13;R;7325.0;8925.0;1600.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;190703;D9;kg;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;D;60404160.0;60892800.0;488640.0;riga preesistente
